year;month;Coefficient
1969;6;0              , 00111
1969;7;0              , 00111
1969;8;0              , 00111
1969;9;0              , 00111
1969;10;0             , 00111
1969;11;0             , 00111
1969;12;0             , 00111
1970;1;0              , 00115
1970;2;0              , 00115
1970;3;0              , 00115
1970;4;0              , 00115
1970;5;0              , 00115
1970;6;0              , 00115
1970;7;0              , 00115
1970;8;0              , 00115
1970;9;0              , 00115
1970;10;0             , 00115
1970;11;0             , 00115
1970;12;0             , 00115
1971;1;0              , 00119
1971;2;0              , 00119
1971;3;0              , 00119
1971;4;0              , 00119
1971;5;0              , 00119
1971;6;0              , 00119
1971;7;0              , 00119
1971;8;0              , 00119
1971;9;0              , 00119
1971;10;0             , 00119
1971;11;0             , 00119
1971;12;0             , 00119
1972;1;0              , 00122
1972;2;0              , 00122
1972;3;0              , 00122
1972;4;0              , 00122
1972;5;0              , 00122
1972;6;0              , 00122
1972;7;0              , 00122
1972;8;0              , 00122
1972;9;0              , 00122
1972;10;0             , 00122
1972;11;0             , 00122
1972;12;0             , 00122
1973;1;0              , 00125
1973;2;0              , 00125
1973;3;0              , 00125
1973;4;0              , 00125
1973;5;0              , 00125
1973;6;0              , 00125
1973;7;0              , 00125
1973;8;0              , 00125
1973;9;0              , 00125
1973;10;0             , 00125
1973;11;0             , 00125
1973;12;0             , 00125
1974;1;0              , 00128
1974;2;0              , 00128
1974;3;0              , 00128
1974;4;0              , 00128
1974;5;0              , 00128
1974;6;0              , 00128
1974;7;0              , 00128
1974;8;0              , 00128
1974;9;0              , 00128
1974;10;0             , 00128
1974;11;0             , 00128
1974;12;0             , 00128
1975;1;0              , 00134
1975;2;0              , 00134
1975;3;0              , 00134
1975;4;0              , 00134
1975;5;0              , 00134
1975;6;0              , 00134
1975;7;0              , 00134
1975;8;0              , 00134
1975;9;0              , 00134
1975;10;0             , 00134
1975;11;0             , 00134
1975;12;0             , 00134
1976;1;0              , 0014
1976;2;0              , 0014
1976;3;0              , 0014
1976;4;0              , 0014
1976;5;0              , 0014
1976;6;0              , 0014
1976;7;0              , 0014
1976;8;0              , 0014
1976;9;0              , 0014
1976;10;0             , 0014
1976;11;0             , 0014
1976;12;0             , 0014
1977;1;0              , 00143
1977;2;0              , 00143
1977;3;0              , 00143
1977;4;0              , 00143
1977;5;0              , 00143
1977;6;0              , 00143
1977;7;0              , 00143
1977;8;0              , 00143
1977;9;0              , 00143
1977;10;0             , 00143
1977;11;0             , 00143
1977;12;0             , 00143
1978;1;0              , 00146
1978;2;0              , 00146
1978;3;0              , 00146
1978;4;0              , 00146
1978;5;0              , 00146
1978;6;0              , 00146
1978;7;0              , 00146
1978;8;0              , 00146
1978;9;0              , 00146
1978;10;0             , 00146
1978;11;0             , 00146
1978;12;0             , 00146
1979;1;0              , 00149
1979;2;0              , 00149
1979;3;0              , 00149
1979;4;0              , 00149
1979;5;0              , 00149
1979;6;0              , 00149
1979;7;0              , 00149
1979;8;0              , 00149
1979;9;0              , 00149
1979;10;0             , 00149
1979;11;0             , 00149
1979;12;0             , 00149
1980;1;0              , 00155
1980;2;0              , 00155
1980;3;0              , 00155
1980;4;0              , 00155
1980;5;0              , 00155
1980;6;0              , 00155
1980;7;0              , 00155
1980;8;0              , 00155
1980;9;0              , 00155
1980;10;0             , 00155
1980;11;0             , 00155
1980;12;0             , 00155
1981;1;0              , 00158
1981;2;0              , 00158
1981;3;0              , 00158
1981;4;0              , 00158
1981;5;0              , 00158
1981;6;0              , 00158
1981;7;0              , 00158
1981;8;0              , 00158
1981;9;0              , 00158
1981;10;0             , 00158
1981;11;0             , 00158
1981;12;0             , 00158
1982;1;0              , 00163
1982;2;0              , 00163
1982;3;0              , 00163
1982;4;0              , 00163
1982;5;0              , 00163
1982;6;0              , 00163
1982;7;0              , 00163
1982;8;0              , 00163
1982;9;0              , 00163
1982;10;0             , 00163
1982;11;0             , 00163
1982;12;0             , 00163
1983;1;0              , 00166
1983;2;0              , 00166
1983;3;0              , 00166
1983;4;0              , 00166
1983;5;0              , 00166
1983;6;0              , 00166
1983;7;0              , 00166
1983;8;0              , 00166
1983;9;0              , 00166
1983;10;0             , 00166
1983;11;0             , 00166
1983;12;0             , 00166
1984;1;0              , 0017
1984;2;0              , 0017
1984;3;0              , 0017
1984;4;0              , 0017
1984;5;0              , 0017
1984;6;0              , 0017
1984;7;0              , 0017
1984;8;0              , 0017
1984;9;0              , 0017
1984;10;0             , 0017
1984;11;0             , 0017
1984;12;0             , 0017
1985;1;0              , 00174
1985;2;0              , 00174
1985;3;0              , 00174
1985;4;0              , 00174
1985;5;0              , 00174
1985;6;0              , 00174
1985;7;0              , 00174
1985;8;0              , 00174
1985;9;0              , 00174
1985;10;0             , 00174
1985;11;0             , 00174
1985;12;0             , 00174
1986;1;0              , 00179
1986;2;0              , 00179
1986;3;0              , 00179
1986;4;0              , 00179
1986;5;0              , 00179
1986;6;0              , 00179
1986;7;0              , 00179
1986;8;0              , 00179
1986;9;0              , 00179
1986;10;0             , 00179
1986;11;0             , 00179
1986;12;0             , 00179
1987;1;0              , 00185
1987;2;0              , 00185
1987;3;0              , 00185
1987;4;0              , 00185
1987;5;0              , 00185
1987;6;0              , 00185
1987;7;0              , 00185
1987;8;0              , 00185
1987;9;0              , 00185
1987;10;0             , 00185
1987;11;0             , 00185
1987;12;0             , 00185
1988;1;0              , 002
1988;2;0              , 002
1988;3;0              , 002
1988;4;0              , 002
1988;5;0              , 002
1988;6;0              , 002
1988;7;0              , 002
1988;8;0              , 002
1988;9;0              , 002
1988;10;0             , 002
1988;11;0             , 002
1988;12;0             , 002
1989;1;0              , 00218
1989;2;0              , 00218
1989;3;0              , 00218
1989;4;0              , 00218
1989;5;0              , 00218
1989;6;0              , 00218
1989;7;0              , 00218
1989;8;0              , 00218
1989;9;0              , 00218
1989;10;0             , 00218
1989;11;0             , 00218
1989;12;0             , 00218
1990;1;0              , 00248
1990;2;0              , 00248
1990;3;0              , 00248
1990;4;0              , 00248
1990;5;0              , 00248
1990;6;0              , 00248
1990;7;0              , 00248
1990;8;0              , 00248
1990;9;0              , 00248
1990;10;0             , 00248
1990;11;0             , 00248
1990;12;0             , 00248
1991;1;0              , 00495
1991;2;0              , 00495
1991;3;0              , 00495
1991;4;0              , 00495
1991;5;0              , 00495
1991;6;0              , 00495
1991;7;0              , 00495
1991;8;0              , 00495
1991;9;0              , 00495
1991;10;0             , 00495
1991;11;0             , 00495
1991;12;0             , 00495
1992;1;0              , 01524
1992;2;0              , 01681
1992;3;0              , 02376
1992;4;0              , 02784
1992;5;0              , 03278
1992;6;0              , 04966
1992;7;0              , 05065
1992;8;0              , 05422
1992;9;0              , 07189
1992;10;0             , 08172
1992;11;0             , 10550
1992;12;0             , 16988
1993;1;0              , 14204
1993;2;0              , 17854
1993;3;0              , 22945
1993;4;0              , 25396
1993;5;0              , 30489
1993;6;0              , 60423
1993;7;0              , 76564
1993;8;0              , 88737
1993;9;2              , 08343
1993;10;2             , 53272
1993;11;3             , 27639
1993;12;8             , 36534
1994;1;7              , 45523
1994;2;7              , 53622
1994;3;8              , 54490
1994;4;8              , 94400
1994;5;9              , 56833
1994;6;10             , 93323
1994;7;11             , 76261
1994;8;12             , 34596
1994;9;13             , 21503
1994;10;19            , 50560
1994;11;26            , 44956
1994;12;34            , 90047
1995;1;32             , 08
1995;2;41             , 53
1995;3;50             , 23
1995;4;53             , 67
1995;5;60             , 74
1995;6;71             , 39
1995;7;75             , 84
1995;8;81             , 39
1995;9;88             , 73
1995;10;95            , 18
1995;11;101           , 22
1995;12;124           , 48
1996;1;103            , 28
1996;2;108            , 95
1996;3;117            , 55
1996;4;116            , 28
1996;5;119            , 44
1996;6;125            , 47
1996;7;130            , 46
1996;8;129            , 99
1996;9;132            , 70
1996;10;134           , 87
1996;11;132           , 27
1996;12;151           , 51
1997;1;126            , 68
1997;2;126            , 36
1997;3;135            , 15
1997;4;133            , 14
1997;5;139            , 53
1997;6;144            , 30
1997;7;151            , 44
1997;8;147            , 67
1997;9;150            , 34
1997;10;149           , 65
1997;11;147           , 07
1997;12;165           , 81
1998;1;136            , 82
1998;2;137            , 85
1998;3;149            , 76
1998;4;146            , 39
1998;5;148            , 61
1998;6;158            , 01
1998;7;159            , 21
1998;8;153            , 21
1998;9;156            , 40
1998;10;156           , 07
1998;11;155           , 54
1998;12;176           , 09
1999;1;148            , 16
1999;2;152            , 03
1999;3;166            , 61
1999;4;165            , 53
1999;5;168            , 87
1999;6;180            , 76
1999;7;183            , 27
1999;8;180            , 94
1999;9;186            , 44
1999;10;186           , 85
1999;11;190           , 39
1999;12;218           , 88
2000;1;180            , 97
2000;2;190            , 62
2000;3;210            , 67
2000;4;205            , 35
2000;5;213            , 21
2000;6;228            , 78
2000;7;238            , 49
2000;8;247            , 44
2000;9;249            , 04
2000;10;254           , 11
2000;11;257           , 58
2000;12;296           , 26
2001;1;253            , 39
2001;2;263            , 66
2001;3;281            , 03
2001;4;288            , 93
2001;5;302            , 96
2001;6;317            , 81
2001;7;327            , 31
2001;8;329            , 33
2001;9;326            , 34
2001;10;335           , 75
2001;11;334           , 44
2001;12;378           , 45
2002;1;320            , 76
2002;2;328            , 70
2002;3;354            , 81
2002;4;355            , 78
2002;5;358            , 88
2002;6;377            , 41
2002;7;398            , 10
2002;8;390            , 07
2002;9;391            , 14
2002;10;397           , 49
2002;11;395           , 70
2002;12;442           , 91
2003;1;332            , 11
2003;2;326            , 96
2003;3;346            , 18
2003;4;347            , 13
2003;5;353            , 19
2003;6;390            , 54
2003;7;381            , 37
2003;8;374            , 16
2003;9;398            , 58
2003;10;400           , 65
2003;11;392           , 69
2003;12;424           , 63
2004;1;444            , 70
2004;2;461            , 50
2004;3;489            , 17
2004;4;494            , 66
2004;5;498            , 48
2004;6;550            , 81
2004;7;530            , 82
2004;8;520            , 59
2004;9;556            , 61
2004;10;561           , 87
2004;11;569           , 35
2004;12;607           , 11
2005;1;606            , 09
2005;2;628            , 18
2005;3;682            , 38
2005;4;678            , 07
2005;5;697            , 52
2005;6;777            , 67
2005;7;732            , 12
2005;8;726            , 43
2005;9;764            , 63
2005;10;791           , 03
2005;11;816           , 38
2005;12;911           , 42
2006;1;781            , 51
2006;2;819            , 16
2006;3;883            , 99
2006;4;877            , 46
2006;5;905            , 17
2006;6;998            , 69
2006;7;932            , 89
2006;8;924            , 65
2006;9;959            , 67
2006;10;965           , 75
2006;11;988           , 70
2006;12;1104          , 33
2007;1;1003           , 60
2007;2;1033           , 58
2007;3;1096           , 30
2007;4;1098           , 58
2007;5;1141           , 25
2007;6;1276           , 94
2007;7;1222           , 25
2007;8;1199           , 04
2007;9;1238           , 18
2007;10;1292          , 50
2007;11;1316          , 23
2007;12;1443          , 16
2008;1;1342           , 27
2008;2;1449           , 59
2008;3;1494           , 71
2008;4;1515           , 00
2008;5;1563           , 36
2008;6;1728           , 31
2008;7;1611           , 63
2008;8;1571           , 37
2008;9;1643           , 25
2008;10;1667          , 13
2008;11;1592          , 70
2008;12;1705          , 67
2009;1;1449           , 89
2009;2;1514           , 77
2009;3;1578           , 91
2009;4;1588           , 08
2009;5;1617           , 95
2009;6;1809           , 77
2009;7;1675           , 50
2009;8;1597           , 17
2009;9;1677           , 69
2009;10;1687          , 37
2009;11;1718          , 91
2009;12;1899          , 21
2010;1;1687           , 62
2010;2;1739           , 43
2010;3;1874           , 27
2010;4;1859           , 70
2010;5;1951           , 28
2010;6;2198           , 46
2010;7;1982           , 72
2010;8;1932           , 81
2010;9;2046           , 31
2010;10;2113          , 62
2010;11;2073          , 90
2010;12;2326          , 74
2011;1;2137           , 84
2011;2;2137           , 19
2011;3;2253           , 90
2011;4;2243           , 42
2011;5;2317           , 48
2011;6;2574           , 35
2011;7;2370           , 28
2011;8;2328           , 21
2011;9;2416           , 19
2011;10;2451          , 80
2011;11;2466          , 42
2011;12;2727          , 94
2012;1;2491           , 40
2012;2;2548           , 60
2012;3;2690           , 03
2012;4;2662           , 55
2012;5;2791           , 84
2012;6;2994           , 78
2012;7;2754           , 69
2012;8;2690           , 49
2012;9;2751           , 67
2012;10;2791          , 19
2012;11;2818          , 68
2012;12;3048          , 60
2013;1;2758           , 11
2013;2;2805           , 17
2013;3;2897           , 19
2013;4;2932           , 06
2013;5;2980           , 54
2013;6;3275           , 94
2013;7;2975           , 87
2013;8;2828           , 46
2013;9;2957           , 81
2013;10;2996          , 56
2013;11;2987          , 05
2013;12;3309          , 24
2014;1;2899           , 77
2014;2;2937           , 98
2014;3;3068           , 64
2014;4;3097           , 76
2014;5;3120           , 21
2014;6;3465           , 63
2014;7;3212           , 48
2014;8;3008           , 73
2014;9;3136           , 51
2014;10;3165          , 49
2014;11;3192          , 38
2014;12;3556          , 97
2015;1;3119           , 04
2015;2;3182           , 96
2015;3;3383           , 16
2015;4;3429           , 94
2015;5;3578           , 75
2015;6;3991           , 14
2015;7;3764           , 24
2015;8;3502           , 52
2015;9;3768           , 52
2015;10;3940          , 98
2015;11;3914          , 88
2015;12;4460          , 32
2016;1;3894           , 73
2016;2;4029           , 89
2016;3;4208           , 47
2016;4;4211           , 77
2016;5;4370           , 92
2016;6;4934           , 07
2016;7;4445           , 53
2016;8;4320           , 12
2016;9;4583           , 29
2016;10;4556          , 04
2016;11;4686          , 5
2016;12;5562          , 97
2017;1;5378           , 61
2017;2;5590           , 26
2017;3;5887           , 70
2017;4;5843           , 43
2017;5;6173           , 33
2017;6;7032           , 28
2017;7;6174           , 07
2017;8;6028           , 81
2017;9;6454           , 14
2017;10;6522          , 77
2017;11;6598          , 71
2017;12;7601          , 89
2018;1;6930           , 69
2018;2;0
2018;3;0
2018;4;0
2018;5;0
2018;6;0
2018;7;0
2018;8;0
2018;9;0
2018;10;0
2018;11;0
2018;12;0
